unit_type,phylo_group,broad_family,branch_class,terminal_snp_norm,surname_id,slava_id,region_id,location_id,lat,long
cluster,N,non_I2,Founder,N-FT182494,"""Церница-гроб 2, скелет 1""",Непознато,Херцеговина,Церница/Гацко,43.0770424,18.5163356
cluster,N,non_I2,Founder,N-FT182494,"""Церница-гроб 2, скелет 2""",Непознато,Херцеговина,Церница/Гацко,43.0770424,18.5163356
cluster,E,non_I2,Founder,E-Z1057,Pouray (Пурић),Аранђеловдан,Стари Влах,Дрмановићи/Нова Варош,43.4151093,19.8426174
cluster,E,non_I2,Founder,E-Y128213,Ђачанин,Јовањдан,Источни Срем,Вашица/Шид,45.0956204,19.1866039
cluster,E,non_I2,Founder,E-FGC11450,Ђајић,Стевањдан,Источна Босна,Закмур/Фоча,43.4614071,18.6949606
cluster,R1a,non_I2,Founder,BY30743,Ђедовић,Јовањдан,Банија,Блиња/Петриња,45.3560014,16.367175
cluster,E,non_I2,Founder,E-L241,Ђекић,Никољдан,Босанска Крајина,Јошавка Доња/Челинац,44.7483667,17.4162565
cluster,E,non_I2,Founder,E-Z38456,Ђекић,Никољдан,Косово,Коретиште/Гњилане,42.4847406,21.4412425
cluster,R1a,non_I2,Founder,L1029,Ђекић,Никољдан,Североисточна Босна,Ритешић/Добој,44.8764609,18.06813
cluster,G,non_I2,Founder,G-Y128480,Ђекић,Стевањдан,Босанска Крајина,Крњеуша/Босански Петровац,44.6900976,16.2267131
cluster,G,non_I2,Founder,G-Y128480,Ђелекар,Никољдан,Расина,Бресно Поље/Трстеник,43.5800118,21.1682853
cluster,N,non_I2,Founder,N-FT182494,Ђенадић,Никољдан,Мачва,Клење/Богатић,44.807222,19.434444
cluster,R1a,non_I2,Founder,L1029,Ђерисило,Михољдан,Херцеговина,Требијови/Требиње,42.7523566,18.3183293
cluster,E,non_I2,Founder,E-Z1057,Ђерић,Ђурђиц,Стари Влах,Буар/Ужице,43.8790259,19.814465
cluster,N,non_I2,Founder,N-FGC28435,Ђерић,Јовањдан,Лика,Михаљевац/Кореница,45.8395848,15.9750439
cluster,Y3120_deep_mid_nonPH908,nonPH908_I2,Relic,Y476914,Ђилас,Лучиндан,Стара Херцеговина,Заград/Никшић,45.1814787,15.7881042
cluster,E,non_I2,Relic,E-BY4553,Ђинисић,Ђурђевдан,Североисточна Босна,Кореташи/Лопаре,44.7696152,18.8632593
cluster,R1a,non_I2,Founder,BY99654,Ђинић,Никољдан,Далмација,Земуник Доњи,44.1050024,15.3794791
cluster,PH908_primary,PH908_family,Founder,Y58629,Ђогић,Јовањдан,Херцеговина,Оџаци/Коњиц,43.5189109,18.2271197
cluster,PH908_primary,PH908_family,Founder,Y58629,Ђого,Јовањдан,Херцеговина,Вукићевићи/Горњи Поплат/Жегуља/Столац,43.0830587,17.9580026
