node	parent	path_string	imputation_rule	tmrca
A16681	FT14506	PH908 > FT14506 > A16681	FT14506 TMRCA 1600	1600
A22770	FT14506	PH908 > FT14506 > A22770	FT14506 TMRCA 1600	1600
A28710	FT16449	PH908 > FT16449 > A28710	FT16449 TMRCA 1650	1650
A29945	FT14506	PH908 > FT14506 > A29945	FT14506 TMRCA 1600	1600
A32852	PH908	PH908 > A32852	PH908 TMRCA 1700	1700
A427	PH908	PH908 > A427	PH908 TMRCA 1700	1700
A815	FT14506	PH908 > FT14506 > A815	FT14506 TMRCA 1600	1600
BY152858	FT16449	PH908 > FT16449 > BY152858	FT16449 TMRCA 1650	1650
BY169115	FT16449	PH908 > FT16449 > BY169115	FT16449 TMRCA 1650	1650
BY184790	FT14506	PH908 > FT14506 > BY184790	FT14506 TMRCA 1600	1600
BY187039	FT14506	PH908 > FT14506 > BY187039	FT14506 TMRCA 1600	1600
BY188335	FT14506	PH908 > FT14506 > BY188335	FT14506 TMRCA 1600	1600
BY189748	PH908	PH908 > BY189748	PH908 TMRCA 1700	1700
BY190177	PH908	PH908 > BY190177	PH908 TMRCA 1700	1700
BY4177	Z16983	PH908 > Z16983 > BY4177	Z16983 TMRCA 1600	1600
BY55537	FT16449	PH908 > FT16449 > BY55537	FT16449 TMRCA 1650	1650
BY77359	FT14506	PH908 > FT14506 > BY77359	FT14506 TMRCA 1600	1600
BY93199	FT14506	PH908 > FT14506 > BY93199	FT14506 TMRCA 1600	1600
BY97841	FT16449	PH908 > FT16449 > BY97841	FT16449 TMRCA 1650	1650
FT109194	FT14506	PH908 > FT14506 > FT109194	FT14506 TMRCA 1600	1600
FT109387	FT14506	PH908 > FT14506 > FT109387	FT14506 TMRCA 1600	1600
FT109402	FT14506	PH908 > FT14506 > FT109402	FT14506 TMRCA 1600	1600
FT124969	FT14506	PH908 > FT14506 > FT124969	FT14506 TMRCA 1600	1600
FT125322	FT14506	PH908 > FT14506 > FT125322	FT14506 TMRCA 1600	1600
FT167636	FT16449	PH908 > FT16449 > FT167636	FT16449 TMRCA 1650	1650
FT173833	FT14506	PH908 > FT14506 > FT173833	FT14506 TMRCA 1600	1600
FT174826	FT16449	PH908 > FT16449 > FT174826	FT16449 TMRCA 1650	1650
FT176119	FT16449	PH908 > FT16449 > FT176119	FT16449 TMRCA 1650	1650
FT18830	FT14506	PH908 > FT14506 > FT18830	FT14506 TMRCA 1600	1600
FT190799	FT14506	PH908 > FT14506 > FT190799	FT14506 TMRCA 1600	1600
FT190854	FT14506	PH908 > FT14506 > FT190854	FT14506 TMRCA 1600	1600
FT226393	FT16449	PH908 > FT16449 > FT226393	FT16449 TMRCA 1650	1650
FT256359	FT14506	PH908 > FT14506 > FT256359	FT14506 TMRCA 1600	1600
FT25902	FT14506	PH908 > FT14506 > FT25902	FT14506 TMRCA 1600	1600
FT25907	FT14506	PH908 > FT14506 > FT25907	FT14506 TMRCA 1600	1600
FT271768	FT16449	PH908 > FT16449 > FT271768	FT16449 TMRCA 1650	1650
FT277965	FT14506	PH908 > FT14506 > FT277965	FT14506 TMRCA 1600	1600
FT34788	FT14506	PH908 > FT14506 > FT34788	FT14506 TMRCA 1600	1600
FT352070	FT16449	PH908 > FT16449 > FT352070	FT16449 TMRCA 1650	1650
FT386055	FT14506	PH908 > FT14506 > FT386055	FT14506 TMRCA 1600	1600
FT407280	FT16449	PH908 > FT16449 > FT407280	FT16449 TMRCA 1650	1650
FT69508	FT14506	PH908 > FT14506 > FT69508	FT14506 TMRCA 1600	1600
FTA26387	FT14506	PH908 > FT14506 > FTA26387	FT14506 TMRCA 1600	1600
FTA49542	FT16449	PH908 > FT16449 > FTA49542	FT16449 TMRCA 1650	1650
FTA65128	FT14506	PH908 > FT14506 > FTA65128	FT14506 TMRCA 1600	1600
FTB12377	FT16449	PH908 > FT16449 > FTB12377	FT16449 TMRCA 1650	1650
FTB32566	FT14506	PH908 > FT14506 > FTB32566	FT14506 TMRCA 1600	1600
FTB90047	FT16449	PH908 > FT16449 > FTB90047	FT16449 TMRCA 1650	1650
FTC69351	FT14506	PH908 > FT14506 > FTC69351	FT14506 TMRCA 1600	1600
FTD21598	FT16449	PH908 > FT16449 > FTD21598	FT16449 TMRCA 1650	1650
MF2888	PH908	PH908 > MF2888	PH908 TMRCA 1700	1700
MF4021	PH908	PH908 > MF4021	PH908 TMRCA 1700	1700
MF99099	FT14506	PH908 > FT14506 > MF99099	FT14506 TMRCA 1600	1600
PH1012	PH908	PH908 > PH1012	PH908 TMRCA 1700	1700
Y102777	FT14506	PH908 > FT14506 > Y102777	FT14506 TMRCA 1600	1600
Y106021	FT16449	PH908 > FT16449 > Y106021	FT16449 TMRCA 1650	1650
Y11229	FT14506	PH908 > FT14506 > Y11229	FT14506 TMRCA 1600	1600
Y125026	FT14506	PH908 > FT14506 > Y125026	FT14506 TMRCA 1600	1600
Y131175	FT16449	PH908 > FT16449 > Y131175	FT16449 TMRCA 1650	1650
