unit_type,phylo_group,broad_family,branch_class,n,other_i2_cloud_rate,other_i2_near30_rate,i2_ecology_share30_mean,nearest_relic_i2_rate,surname_ic_rate,elevation_median,tmrca_median
cluster,E,non_I2,Founder,649,0.35901386748844377,0.8412942989214176,0.39755208662930697,0.3667180277349769,0.8351309707241911,NA,NA
cluster,E,non_I2,Relic,47,0.2553191489361702,0.7446808510638298,0.2917495341872671,0.3191489361702128,0.851063829787234,NA,NA
cluster,G,non_I2,Founder,72,0.2777777777777778,0.9305555555555556,0.47809069159995565,0.4444444444444444,0.8194444444444444,NA,NA
cluster,G,non_I2,Relic,35,0.45714285714285713,0.7428571428571429,0.3066582555887369,0.2571428571428571,0.8857142857142857,NA,NA
cluster,I1,non_I2,Founder,289,0.3806228373702422,0.8650519031141869,0.4318967540198594,0.38408304498269896,0.8650519031141869,NA,NA
cluster,I1,non_I2,Relic,31,0.2903225806451613,0.7741935483870968,0.33655588942018305,0.2903225806451613,0.7741935483870968,NA,NA
cluster,I2_unmapped_nonPH908,nonPH908_I2,Relic,10,0.5,0.8,0.36846939777974264,0.6,0.9,NA,NA
cluster,J2,non_I2,Founder,259,0.3474903474903475,0.8262548262548263,0.3862897161417665,0.4247104247104247,0.7953667953667953,NA,NA
cluster,J2,non_I2,Relic,51,0.19607843137254902,0.7058823529411765,0.24974903714399513,0.29411764705882354,0.6666666666666666,NA,NA
cluster,N,non_I2,Founder,89,0.39325842696629215,0.8314606741573034,0.4084967840865386,0.38202247191011235,0.8089887640449438,NA,NA
cluster,N,non_I2,Relic,8,0.375,0.875,0.22974480021893814,0,0.625,NA,NA
cluster,PH908_map_nonprimary,PH908_family,Founder,21,0.47619047619047616,0.8571428571428571,0.37569771498342924,0.5238095238095238,0.7142857142857143,NA,NA
cluster,PH908_map_nonprimary,PH908_family,Relic,8,0.625,0.875,0.3278486790986791,0.5,0.875,NA,NA
cluster,PH908_primary,PH908_family,Founder,403,0.08684863523573201,0.5037220843672456,0.44116033153839335,0.456575682382134,0.7444168734491315,NA,1600
cluster,PH908_primary,PH908_family,Relic,82,0.2804878048780488,0.6829268292682927,0.4218501693660599,0.5121951219512195,0.8658536585365854,NA,550
cluster,R1a,non_I2,Founder,389,0.3033419023136247,0.8303341902313625,0.3822447544494039,0.36246786632390743,0.7969151670951157,NA,2100
cluster,R1a,non_I2,Relic,48,0.3125,0.7916666666666666,0.33736025996934027,0.3541666666666667,0.75,NA,1900
cluster,R1b,non_I2,Founder,122,0.3524590163934426,0.819672131147541,0.36618198110133593,0.28688524590163933,0.8114754098360656,NA,NA
cluster,R1b,non_I2,Relic,60,0.35,0.8,0.2846733180574315,0.25,0.8166666666666667,NA,NA
cluster,Y3120_deep_mid_nonPH908,nonPH908_I2,Founder,21,0.23809523809523808,0.8095238095238095,0.3098005229419703,0.19047619047619047,0.9047619047619048,NA,NA
