unit_type,control_set,metric,factor_name,n_omissions,min_did,median_did,max_did,worst_omitted
cluster,all_non_I2,other_i2_cloud_xsurname_xlocation,Region,36,0.22315797151075864,0.2869068079813052,0.31308314923245684,Стари Влах
cluster,all_non_I2,other_i2_cloud_xsurname_xlocation,Slava,35,0.19593114464289113,0.28484196370062714,0.3152612683270587,Никољдан
cluster,all_non_I2,other_i2_cloud_xsurname_xlocation,Surname,439,0.2701629830843314,0.28484196370062714,0.29308208122158036,Бојановић
cluster,all_non_I2,other_i2_cloud_xsurname_xlocation,phylo_group,5,0.15301199131337923,0.27316485925693923,0.28884430176565,PH908_primary
cluster,all_non_I2,other_i2_cloud_xsurname_xlocation,terminal_snp_norm,97,0.2623862735891507,0.287762050683399,0.3033274302993013,FT16449
cluster,non_I2_excl_R1a,other_i2_cloud_xsurname_xlocation,Region,36,0.23566498369812736,0.2994138201686739,0.32559016141982555,Стари Влах
cluster,non_I2_excl_R1a,other_i2_cloud_xsurname_xlocation,Slava,35,0.20843815683025985,0.29734897588799586,0.3277682805144274,Никољдан
cluster,non_I2_excl_R1a,other_i2_cloud_xsurname_xlocation,Surname,439,0.2826699952717001,0.29734897588799586,0.3055890934089491,Бојановић
cluster,non_I2_excl_R1a,other_i2_cloud_xsurname_xlocation,phylo_group,5,0.16551900350074794,0.28567187144430795,0.30135131395301873,PH908_primary
cluster,non_I2_excl_R1a,other_i2_cloud_xsurname_xlocation,terminal_snp_norm,97,0.2748932857765194,0.3002690628707677,0.31583444248667003,FT16449
location_terminal,all_non_I2,other_i2_cloud_xsurname_xlocation,Region,36,0.21615902225287328,0.28127636019032565,0.3073159988092814,Стари Влах
location_terminal,all_non_I2,other_i2_cloud_xsurname_xlocation,Slava,35,0.1969002782693724,0.2792896870523443,0.31219189269093484,Никољдан
location_terminal,all_non_I2,other_i2_cloud_xsurname_xlocation,Surname,418,0.2644052183669142,0.2792896870523443,0.28770733811358307,Бојановић
location_terminal,all_non_I2,other_i2_cloud_xsurname_xlocation,phylo_group,5,0.13470727759188605,0.2688376582438357,0.2824232363849323,PH908_primary
location_terminal,all_non_I2,other_i2_cloud_xsurname_xlocation,terminal_snp_norm,97,0.25678772009719086,0.2822169232015198,0.29930219486973014,FT16449
location_terminal,non_I2_excl_R1a,other_i2_cloud_xsurname_xlocation,Region,36,0.22922116225290104,0.29433850019035335,0.32037813880930915,Стари Влах
location_terminal,non_I2_excl_R1a,other_i2_cloud_xsurname_xlocation,Slava,35,0.20996241826940015,0.29235182705237206,0.3252540326909626,Никољдан
location_terminal,non_I2_excl_R1a,other_i2_cloud_xsurname_xlocation,Surname,418,0.2774673583669419,0.29235182705237206,0.3007694781136108,Бојановић
location_terminal,non_I2_excl_R1a,other_i2_cloud_xsurname_xlocation,phylo_group,5,0.1477694175919138,0.28189979824386346,0.29548537638496,PH908_primary
location_terminal,non_I2_excl_R1a,other_i2_cloud_xsurname_xlocation,terminal_snp_norm,97,0.2698498600972186,0.2952790632015475,0.3123643348697579,FT16449
surname_region_terminal,all_non_I2,other_i2_cloud_xsurname_xlocation,Region,36,0.22763140908218632,0.28166842520466684,0.3061134915099109,Стари Влах
surname_region_terminal,all_non_I2,other_i2_cloud_xsurname_xlocation,Slava,35,0.18439930456514947,0.28003569347319346,0.3125172467650344,Никољдан
surname_region_terminal,all_non_I2,other_i2_cloud_xsurname_xlocation,Surname,439,0.2699966779822895,0.28003569347319346,0.2886957948327142,Миловановић
surname_region_terminal,all_non_I2,other_i2_cloud_xsurname_xlocation,phylo_group,5,0.13897700099995652,0.2677098875599058,0.28386702362833605,PH908_primary
surname_region_terminal,all_non_I2,other_i2_cloud_xsurname_xlocation,terminal_snp_norm,97,0.2568741066323613,0.2830575453738655,0.3001626068620716,FT16449
surname_region_terminal,non_I2_excl_R1a,other_i2_cloud_xsurname_xlocation,Region,36,0.2387031513132144,0.292740167435695,0.317185233740939,Стари Влах
surname_region_terminal,non_I2_excl_R1a,other_i2_cloud_xsurname_xlocation,Slava,35,0.19547104679617755,0.29110743570422154,0.3235889889960625,Никољдан
surname_region_terminal,non_I2_excl_R1a,other_i2_cloud_xsurname_xlocation,Surname,439,0.28106842021331757,0.29110743570422154,0.29976753706374226,Миловановић
surname_region_terminal,non_I2_excl_R1a,other_i2_cloud_xsurname_xlocation,phylo_group,5,0.1500487432309846,0.2787816297909339,0.2949387658593641,PH908_primary
surname_region_terminal,non_I2_excl_R1a,other_i2_cloud_xsurname_xlocation,terminal_snp_norm,97,0.26794584886338946,0.2941292876048936,0.31123434909309966,FT16449
