reservoir_family,n_Founder,n_Relic,yes_Founder,yes_Relic,rate_Founder,rate_Relic,relic_minus_founder,unit_type,metric,family_rank,exact_rank_p
I2,445,133,76,54,0.1707865168539326,0.40601503759398494,0.23522852074005235,cluster,own_family_social_xsurname_xlocation,1,0.14285714285714285
J2,259,51,38,10,0.14671814671814673,0.19607843137254902,0.04936028465440229,cluster,own_family_social_xsurname_xlocation,2,0.2857142857142857
G,72,35,10,5,0.1388888888888889,0.14285714285714285,0.003968253968253954,cluster,own_family_social_xsurname_xlocation,3,0.42857142857142855
R1a,389,48,73,9,0.18766066838046272,0.1875,-1.6066838046271958e-4,cluster,own_family_social_xsurname_xlocation,4,0.5714285714285714
E,649,47,135,6,0.20801232665639446,0.1276595744680851,-0.08035275218830937,cluster,own_family_social_xsurname_xlocation,5,0.7142857142857143
R1b,122,60,35,8,0.28688524590163933,0.13333333333333333,-0.153551912568306,cluster,own_family_social_xsurname_xlocation,6,0.8571428571428571
I1,289,31,86,0,0.2975778546712803,0,-0.2975778546712803,cluster,own_family_social_xsurname_xlocation,7,1
I2,445,133,235,95,0.5280898876404494,0.7142857142857143,0.1861958266452649,cluster,own_family_near30,1,0.14285714285714285
G,72,35,29,17,0.4027777777777778,0.4857142857142857,0.08293650793650792,cluster,own_family_near30,2,0.2857142857142857
R1b,122,60,64,35,0.5245901639344263,0.5833333333333334,0.058743169398907114,cluster,own_family_near30,3,0.42857142857142855
J2,259,51,112,20,0.43243243243243246,0.39215686274509803,-0.04027556968733442,cluster,own_family_near30,4,0.5714285714285714
E,649,47,296,18,0.4560862865947612,0.3829787234042553,-0.07310756319050588,cluster,own_family_near30,5,0.7142857142857143
R1a,389,48,208,18,0.5347043701799485,0.375,-0.15970437017994854,cluster,own_family_near30,6,0.8571428571428571
I1,289,31,141,5,0.48788927335640137,0.16129032258064516,-0.3265989507757562,cluster,own_family_near30,7,1
I2,445,133,48,47,0.10786516853932585,0.3533834586466165,0.24551829010729068,cluster,own_family_cloud_xsurname_xlocation,1,0.14285714285714285
J2,259,51,21,8,0.08108108108108109,0.1568627450980392,0.07578166401695813,cluster,own_family_cloud_xsurname_xlocation,2,0.2857142857142857
