metric,metric_label,scenario,scenario_label,bias_level,n_sim,median_did,p05,p95,prob_positive
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0,5000,0.3094009455008757,0.3094009455008757,0.3094009455008757,1
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.025,5000,0.25252034652547434,0.22674487529926035,0.2746647417070998,1
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.05,5000,0.19498964012314962,0.1581478270060249,0.22657660569282104,1
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.07500000000000001,5000,0.13718934932414592,0.0931669827550903,0.1748860707354963,1
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.1,5000,0.07908712893440659,0.030277395744943543,0.12449994252554422,0.9942
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.125,5000,0.021909043337828144,-0.03177854486260705,0.07137934018469086,0.7522
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.15000000000000002,5000,-0.036758756506207135,-0.09427472898416614,0.016926591435528104,0.1262
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.17500000000000002,5000,-0.09354715588507023,-0.1547125161007597,-0.034952121860063586,0.0048
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.2,5000,-0.15214205675803305,-0.21550875381901605,-0.09005893603671593,0
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.225,5000,-0.20900831586973456,-0.2776031058874395,-0.14485548961147715,0
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.25,5000,-0.26881259121652923,-0.33806216758411123,-0.2027486312004393,0
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.275,5000,-0.32503558776353547,-0.3976849663360659,-0.2565412758172133,0
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.30000000000000004,5000,-0.38242450238096937,-0.4564597891430684,-0.31312657220420986,0
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.325,5000,-0.44160805651799673,-0.5164725054181746,-0.3689743511312876,0
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.35000000000000003,5000,-0.4986393135713941,-0.5748835607993447,-0.42356815421155347,0
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.375,5000,-0.5561465169225479,-0.6336841708849509,-0.4802531400790137,0
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.4,5000,-0.6140048173155952,-0.6928010060345895,-0.5379196742065921,0
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.42500000000000004,5000,-0.6717443313078981,-0.7501320622460209,-0.5933588673183013,0
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.45,5000,-0.7290293976812268,-0.8064947441612681,-0.6520759385744395,0
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.47500000000000003,5000,-0.788096523034777,-0.865776189488244,-0.709447047512915,0
own_family_cloud_xsurname_xlocation,Coordinate cloud,directed_adversarial_bias,Coordinated adverse bias,0.5,5000,-0.8465415679620361,-0.9251358464129236,-0.7698837288177888,0
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0,5000,0.3094009455008757,0.3094009455008757,0.3094009455008757,1
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.025,5000,0.2942477085397679,0.2626843686123819,0.32578080896140715,1
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.05,5000,0.2782652789653041,0.232992973277802,0.3228548083901341,1
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.07500000000000001,5000,0.26298185957484843,0.2082459422180099,0.31712535029165123,1
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.1,5000,0.2485560916273069,0.18602258478852282,0.30976396287072255,1
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.125,5000,0.2325616480852884,0.16731880696707124,0.30011842106158954,1
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.15000000000000002,5000,0.21653946686610118,0.14456834767934576,0.29115442529144453,1
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.17500000000000002,5000,0.20117791547783187,0.1237344526234057,0.2791588418421963,1
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.2,5000,0.1864732081818969,0.10452386755196803,0.26772385436318813,0.9998
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.225,5000,0.17127144135459432,0.0859281590400795,0.254205675193801,0.9998
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.25,5000,0.1550627438689171,0.06546362250205157,0.24336840935754986,0.9986
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.275,5000,0.1388032716008028,0.048839214838319954,0.23249664637017822,0.995
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.30000000000000004,5000,0.12416810984545357,0.029177473487413664,0.21959598313016854,0.9852
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.325,5000,0.10859514772270701,0.013760081051065529,0.20552972247139625,0.9708
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.35000000000000003,5000,0.09296821436346378,-0.005512526048810158,0.1905386060779089,0.941
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.375,5000,0.07975799337920278,-0.0222409388851569,0.1799657340469814,0.8998
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.4,5000,0.06160904712933593,-0.04037853069846492,0.15983085176257295,0.8402
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.42500000000000004,5000,0.04750562807066597,-0.05606047154945891,0.14588217325193018,0.7732
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.45,5000,0.03036684113352614,-0.07344357244812248,0.13391249264775326,0.6844
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.47500000000000003,5000,0.015907261057758415,-0.08807659231858272,0.11657904598050622,0.6062
own_family_cloud_xsurname_xlocation,Coordinate cloud,random_registry_noise,Non-directional registry noise,0.5,5000,-3.540560187940134e-4,-0.10302054939958535,0.09991006609655963,0.4976
own_family_social_xsurname_xlocation,Shared Slava or region,directed_adversarial_bias,Coordinated adverse bias,0,5000,0.3361571142382236,0.3361571142382236,0.3361571142382236,1
own_family_social_xsurname_xlocation,Shared Slava or region,directed_adversarial_bias,Coordinated adverse bias,0.025,5000,0.27840843705844964,0.2516489290740773,0.3005330030123037,1
